Hikayat 	1	7	0	0
Handalan 	1	8	0	0
Asrama 	1	6	1	0
Cooling 	0	7	1	4
Pesawat 	1	7	0	0
Keng Cheow 	0	4.5	0	1
Bukit Teresa 	0	5.5	0	2
Phoenix 	0	7	1	4
Collyer 	0	7	0	2
Damai 	1	5	0	0
Pang Seng 	0	4	0	1
Tumpu 	1	5	0	0
Yio Chu Kang 	0	3.3333333333	0	1
Merbok 	1	6	0	0
Hong Lee 	0	3.5	1	1
Crescent 	0	8	1	4
Tampines 	0	8	0	0
Jarak 	1	5	0	0
Gambir 	1	6	1	0
Maju 	0	4	0	0
Halus 	1	5	0	0
Kelichap 	1	8	0	0
Duke 	0	4	1	4
Tao Ching 	0	4	0	1
Seruling 	1	8	0	0
Victoria 	0	8	1	2
Joo Yee 	0	3	0	1
Batai 	1	5	0	0
La Salle 	0	3.5	1	5
Marina 	0	6	1	4
Pasar 	0	5	0	0
Camphor 	0	7	1	5
Hertford 	0	8	0	2
Nira 	1	4	0	0
Tras 	0	4	0	0
Kesum 	1	5	0	0
Hendon 	0	6	0	2
Ah Hood 	0	3	1	1
Dalkeith 	0	8	0	2
Zion 	0	4	0	4
Dryburgh 	0	8	0	2
Khairuddin 	1	10	0	0
Bahagia 	1	7	0	0
Bridge 	0	6	1	4
Belilios 	0	8	0	5
Cheang Hong Lim 	0	4.3333333333	0	1
Eng Kong 	0	3.5	0	1
Lyndhurst 	0	9	0	2
Batawi 	1	6	0	0
Clarence 	0	8	1	2
Siang Lim 	0	4	0	1
Beringin 	1	8	0	0
Empat 	1	5	0	0
Kian Teck 	0	4	0	1
Sindor 	1	6	0	0
Hun Yeang 	0	4	0	1
Liane 	0	5	1	2
Cable 	0	5	1	4
Cantonment 	0	10	1	4
Lloyd 	0	5	0	2
St. Xavier's 	0	5.5	0	2
Mayne 	0	5	0	2
Buckley 	0	7	0	2
Kismis 	0	6	0	5
Miller 	0	6	1	2
Majapahit 	1	9	0	3
Canberra 	0	8	0	5
Kallang Pudding 	0	7	0	0
Aida 	0	4	0	5
Gangsa 	0	6	0	0
Sahad 	1	5	0	0
Rebana 	1	6	0	0
Canada 	0	6	0	5
Woodleigh 	0	9	0	2
Lima 	1	4	1	0
Dunbar 	0	6	0	2
Batalong 	1	8	0	0
Greenview 	0	9	0	4
Yew Siang 	0	4	0	1
Stangee 	0	7	0	0
Ban San 	0	3	1	1
Raya 	1	4	1	0
Watten 	0	6	0	2
Camden 	0	6	0	2
Woodgrove 	0	9	0	2
Berrima 	0	7	0	5
Paranakan 	0	9	0	5
Catterick 	0	9	0	2
Tukang Tiga 	1	5	0	0
Moreton 	0	7	0	2
Starlight 	0	9	1	4
Naung 	1	5	0	5
Kenya 	0	5	0	5
Ceylon 	0	6	0	5
Lepas 	1	5	0	0
Kandis 	1	6	0	0
Kerepek 	1	7	0	0
Aroozoo 	0	7	0	5
Bangau 	1	6	0	0
Kerbau 	0	6	0	0
Kechot 	1	6	0	0
Perahu 	1	6	0	0
Dinding 	1	7	0	0
St. Wilfred 	0	5	0	2
Lincoln 	0	7	0	2
Wan Lee 	0	3	1	1
Maxwell 	0	7	1	2
Sunrise Villa 	0	6	1	4
Blair 	0	5	0	2
Namly 	0	5	0	2
Raffles 	0	7	1	2
Ewart 	0	5	0	2
Springside 	0	10	0	4
Poole 	0	5	0	2
Rabu 	1	4	0	0
Whitley 	0	7	0	2
Langsat 	0	7	0	0
Jiak Chuan 	0	4.5	0	1
Merah Saga 	1	4.5	0	0
Penjara 	1	7	0	0
Bandang 	1	7	0	0
Jermin 	1	6	0	0
Beo 	0	3	0	1
Boon Lay 	1	3.5	1	1
Lambeth 	0	7	0	2
Cassia 	0	6	1	4
Rajawali 	1	8	0	0
Eaton 	0	5	0	2
Bahar 	1	5	0	0
Robertson 	0	9	0	2
Yarwood 	0	7	0	2
Berjaya 	1	7	0	0
Ho Ching 	0	3.5	0	1
Clacton 	0	7	0	2
Gray 	0	4	0	2
Farleigh 	0	8	0	2
Hastings 	0	8	1	2
Lavender 	0	8	1	4
Gemala 	1	6	0	0
Toh Tuck 	0	3.5	0	1
Dangai 	1	6	0	0
Fernhill 	0	8	0	2
Sandy 	0	5	1	4
Minggu 	1	6	0	0
Chengkek 	1	8	0	0
Surin 	0	5	0	5
Peng Nguan 	0	4.5	0	1
Guan Soon 	0	4	1	1
Jervois 	0	7	0	2
Richards 	0	8	0	2
Hillview 	0	8	0	4
Telok Kurau 	0	5	0	0
Khiang Guan 	0	5	0	1
