Shrewsbury 	0	10	0	2	British	
Braddell 	0	8	0	2	British	
Tiga 	1	4	0	0	Malay	
Pisang Raja 	1	5	0	0	Malay	
Bain 	0	4	0	0	Malay	-
Kim Keat 	0	3.5	0	1	Chinese	
First Lok Yang 	0	4	0	1	Chinese	
Westwood 	0	8	0	2	British	
Sin Ming 	0	3.5	1	1	Chinese	
Ross 	0	4	0	2	British	
Pahang 	0	6	0	0	Malay	
Kemajuan 	1	8	0	0	Malay	
Technology 	0	10	1	4	Generic	
Trengganu 	0	9	0	0	Malay	
Kismis 	1	6	0	5	Other	-
Malacca 	0	7	1	0	Malay	
Ascot 	0	5	1	2	British	
Da Silva 	0	3.5	1	5	Other	
Leban 	1	5	0	0	Malay	
Peakville 	0	9	0	2	British	
Artillery 	0	9	1	4	Generic	
MacKerrow 	0	9	0	2	British	
Toronto 	0	7	0	2	British	
Teban 	0	5	0	0	Malay	
Pandan 	1	6	0	0	Malay	
Shamah 	0	6	0	0	Malay	
Mohamad Sultan 	0	6.5	0	0	Malay	
Teck Whye 	0	4	0	1	Chinese	
Kinta 	0	5	0	0	Malay	
Hitam Manis 	1	5	0	0	Malay	
Sampurna 	1	8	0	0	Malay	-
Hobart 	0	6	0	2	British	
Bukit Chermin 	0	6	0	0	Malay	
Kesoma 	1	6	0	0	Malay	
Prince Charles 	0	6.5	0	2	British	
Greenpark 	0	9	0	2	British	
Kampong Sireh 	0	6	0	1	Chinese	
Loewen 	0	6	0	5	Other	
Angullia 	0	8	0	2	British	-
Purmei 	1	6	0	0	Malay	
Edgware 	0	7	0	2	British	
Moonbeam 	0	8	1	4	Generic	
Delhi 	0	5	0	3	Indian	
Laguna Golf 	0	5	1	4	Generic	-
Rusuk 	1	5	0	0	Malay	-
Labu Manis 	1	4.5	0	0	Malay	
Queen Elizabeth 	0	7	0	2	British	
Ah Soo 	1	2.5	0	1	Chinese	
St. Martin's 	0	5.5	0	2	British	
Parsi 	0	5	0	1	Chinese	-
Waringin 	0	8	0	0	Malay	-
Ridout 	0	6	0	4	Generic	-
Kampong Siglap 	1	6.5	0	0	Malay	
Moulmein 	0	8	0	2	British	
Kitchener 	0	9	1	2	British	
Dickenson 	0	9	0	2	British	
Flora 	0	5	1	2	British	
Tan Tye 	0	3	1	1	Chinese	
Suka 	1	4	0	0	Malay	
Prince of Wales 	0	4.3333333333	1	2	British	
Monk's 	0	6	1	4	Generic	
Beach 	0	5	1	4	Generic	
Wong Chin Yoke 	0	4	0	1	Chinese	
Bukit Arang 	0	5	0	0	Malay	
Geylang Bahru 	0	6	0	0	Malay	
Cuscaden 	0	8	0	2	British	
Butterworth 	0	11	0	2	British	
Leedon 	0	6	0	2	British	
Race Course 	0	5	1	4	Generic	
Stores 	0	6	1	2	British	
Jasmine 	0	7	1	4	Generic	
Bussorah 	0	8	0	2	British	-
Swettenham 	0	10	0	2	British	
Membina Barat 	1	6	0	0	Malay	
Dunearn 	0	7	0	2	British	
Bukit Merah 	1	5	0	0	Malay	
Ewe Boon 	0	3.5	1	1	Chinese	-
Bukit Manis 	0	5	0	0	Malay	
Forfar 	0	6	0	2	British	-
Mimosa 	0	6	1	4	Generic	
Falkland 	0	8	0	2	British	
Kwong 	0	5	0	2	British	-
Gerald 	0	6	0	2	British	
Mashhor 	1	7	0	0	Malay	-
Rajah 	1	5	1	3	Indian	
Batok 	1	5	0	0	Malay	
Merlimau 	1	8	0	0	Malay	
Dunkirk 	0	7	0	2	British	
Puntong 	1	7	0	0	Malay	-
Eng Hoon 	0	3.5	0	1	Chinese	
Mas Merah 	1	4	0	0	Malay	
Lempeng 	0	7	0	0	Malay	-
Republic 	0	8	1	4	Generic	
Draycott 	0	8	0	2	British	
Kathi 	1	5	0	0	Malay	
Perumal 	0	7	0	0	Malay	
Grisek 	1	6	0	0	Malay	-
Wilby 	0	5	0	2	British	
Holt 	0	4	1	2	British	
Neythal 	0	7	0	2	British	-
Kallang 	0	7	0	0	Malay	-
Swiss Club 	0	4.5	1	4	Generic	
Nanyang 	0	7	0	1	Chinese	
Elok 	1	4	0	0	Malay	-
Bunga 	1	5	0	0	Malay	
Serene 	1	6	1	2	British	
Kingsmead 	0	9	0	2	British	
Sayang 	1	6	0	0	Malay	
Mount Sinai 	0	5	0	5	Other	
Pagoda 	0	6	1	1	Chinese	
Mas Kuning 	1	4.5	0	0	Malay	
Bury 	0	4	1	2	British	
Tua Kong 	1	3.5	0	1	Chinese	
Puyoh 	1	5	0	0	Malay	-
Highgate 	0	8	0	2	British	
Huddington 	0	10	0	2	British	
Siok Wan 	0	3.5	0	1	Chinese	
Bukit Purmei 	0	5.5	0	0	Malay	
Barker 	0	6	1	4	Generic	
Bungar 	1	6	0	0	Malay	
Redhill 	0	7	0	2	British	
Cochrane 	0	8	0	2	British	
Woodlands 	0	9	1	2	British	
Bukit Timah 	0	5	0	0	Malay	
Riviera 	0	7	1	4	Generic	
Ann Siang 	0	4	0	1	Chinese	
Shelford 	0	8	0	2	British	
Selaseh 	1	7	0	0	Malay	
