Kay Poh 	0	3	1	1	Chinese
Changi 	0	6	0	0	Malay
McNair 	0	6	0	2	British
Petir 	0	5	0	2	British
Stokesay 	0	8	0	2	British
Teng Tong 	0	4	0	1	Chinese
MacKenzie 	0	9	0	5	Other
Buloh Perindu 	1	6	0	0	Malay
Redop 	1	5	0	0	Malay
Bedok Ria 	0	4	0	0	Malay
Lakme 	0	5	0	2	British
Garden 	0	6	1	4	Generic
Havelock 	0	8	1	2	British
Toh 	0	3	0	2	British
Clive 	0	5	0	4	Generic
Saunders 	0	8	0	2	British
Clementi 	0	8	0	5	Other
York 	0	4	1	2	British
View 	0	4	1	4	Generic
Merpati 	0	7	0	2	British
Kim Cheng 	0	4	0	1	Chinese
Matlock 	0	7	0	2	British
Court 	0	5	1	4	Generic
Gentle 	0	6	1	4	Generic
Langgar Bedok 	1	6	0	0	Malay
Digby 	0	5	0	5	Other
Yung Loh 	0	3.5	0	1	Chinese
International 	0	13	1	4	Generic
Kuang 	1	5	0	0	Malay
Legundi 	1	7	0	0	Malay
Loyang 	0	6	0	1	Chinese
Belvedere 	0	9	1	2	British
Pasir Panjang 	0	6	0	0	Malay
Gloucester 	0	10	0	2	British
Novena 	1	6	1	4	Generic
Bukit Pasoh 	0	5	0	0	Malay
Ashwood 	0	7	0	2	British
Onan 	0	4	0	1	Chinese
Alexandra 	0	9	0	2	British
Deal 	0	4	1	4	Generic
Margate 	0	7	0	2	British
Wellington 	0	10	1	2	British
Crane 	0	5	1	2	British
Novena Selatan 	1	6.5	0	0	Malay
Coldstream 	0	10	0	2	British
Little 	0	6	1	4	Generic
Tani 	1	4	0	0	Malay
Mohamad Ali 	0	5	0	0	Malay
Bonham 	0	6	0	2	British
Bayfront 	0	8	0	2	British
Arthur 	0	6	0	2	British
Hemsley 	0	7	0	2	British
Senandong 	1	9	0	0	Malay
Anak Patong 	1	5	0	0	Malay
Camborne 	0	8	0	2	British
Fourth Chin Bee 	0	4.3333333333	1	1	Chinese
Camp 	0	4	1	4	Generic
Nangka 	1	6	0	0	Malay
Cable Car 	0	4	1	4	Generic
Burnfoot 	0	8	0	2	British
Tay Lian Teck 	0	3.6666666667	0	1	Chinese
Third 	0	5	1	2	British
Westerhout 	0	10	0	4	Generic
Yunnan 	0	6	0	5	Other
Cardiff 	0	7	0	2	British
Adis 	0	4	0	0	Malay
Spring 	0	6	1	4	Generic
Joo Koon 	0	3.5	0	1	Chinese
Prince Philip 	0	6	0	2	British
Hampstead 	0	9	0	0	Malay
Tembeling 	0	9	0	0	Malay
Queen's 	0	7	1	2	British
Hwi Yoh 	1	3	0	1	Chinese
Sinar Bulan 	1	5	0	0	Malay
Labu Puteh 	1	4.5	0	0	Malay
Hollland 	0	8	0	2	British
Stadium 	0	7	1	0	Malay
Teck Guan 	0	4	0	1	Chinese
Indus 	0	5	0	2	British
Marine 	0	6	1	4	Generic
Kampong Bahru 	0	6	0	0	Malay
Istimewa 	1	8	0	0	Malay
Worthing 	0	8	1	2	British
Goodwood 	0	8	0	2	British
Norma 	0	5	0	2	British
Pereira 	0	7	1	2	British
Second Hospital 	0	7	1	2	British
Machang 	1	7	0	0	Malay
Cheow Keng 	0	4.5	0	1	Chinese
Tung Po 	0	3	1	1	Chinese
Cameron 	0	7	0	2	British
Magazine 	0	8	1	4	Generic
Hillcrest 	0	9	1	4	Generic
