Minden 	0	6	0	5	Other	Named after the Battle of Minden fought by the Duke of Marlborough – Infopedia		
Farrer 	0	6	0	2	British			
Tekukor 	1	7	0	0	Malay			
Hendry 	0	6	0	2	British			
Green 	0	5	1	2	British			
Gelenggang 	1	10	0	0	Malay			
Wallich 	0	7	0	2	British			
Chatsworth 	0	10	0	2	British			
Pearl's 	0	7	1	2	British			
Road 	0	4	1	4	Generic			
Bishops 	0	7	1	2	British			
Riverside 	0	9	1	4	Generic			
Sixth Lok Yang 	0	4	0	1	Chinese			
Rhu 	0	3	0	0	Malay			
Cavan 	0	5	0	2	British	Named after Frederick Rudolph Lambart	 Earl of Cavan	 a British Field Marshal involved in the Second Boer War and WWI (http://remembersingapore.wordpress.com/2014/01/09/pioneer-names-in-singapore-streets/)
Penjuru 	0	7	0	0	Malay			
Chun Tin 	0	3.5	0	1	Chinese			
Prinsep 	0	7	0	2	British			
Meyer 	0	5	0	5	Other	Named after Jewish businessman Sir Manasseh Meyer (http://remembersingapore.wordpress.com/2014/01/09/pioneer-names-in-singapore-streets/)		
Nakhoda 	1	7	0	0	Malay			
Malabar 	0	7	0	3	Indian	Malabar Muslims from the state of Kerala in India		
Chencharu 	1	9	0	0	Malay			
Loke Yew 	0	3.5	1	1	Chinese			
Club 	0	4	1	4	Generic			
Padang Jeringau 	0	7	0	0	Malay			
Church 	0	6	1	4	Generic			
Tambur 	1	6	1	0	Malay			
Stephen Lee 	0	5	0	1	Chinese	Named after Father Stephen Lee	 a local Chinese Catholic priest who helped Teochew refugees from Swatow	 China to settle in the Mandai area
Paradise 	0	8	1	2	British			
Oakwood 	0	7	1	2	British			
Cheng Soon 	0	4.5	0	1	Chinese			
Greenmead 	0	9	0	2	British			
Parbury 	0	7	0	2	British			
Newton 	0	6	1	2	British			
Senja 	0	5	0	0	Malay			
Gul 	0	3	1	6	Nature	"Appears on F&J plan as ""Tg Gull"" so possibly after the bird?"		
Pemimpin 	1	8	0	0	Malay			
Blandford 	0	9	0	2	British			
Penang 	0	6	1	0	Malay			
Asuhan 	1	6	0	0	Malay			
Azam 	1	4	0	0	Malay			
Perimeter 	0	9	1	4	Generic			
Phillips 	0	8	0	2	British			
Gambas 	1	6	1	0	Malay			
Hai Sing 	0	3.5	0	1	Chinese			
Primrose 	0	8	1	6	Nature			
Mariam 	0	6	0	5	Other	?		
Sophia 	0	6	1	2	British	Named in honour of Raffles' second wife		
Rifle Range 	0	5	1	4	Generic			
Shepherd's 	0	10	1	2	British			
Martaban 	0	8	0	2	British			
Lew Lian 	0	3.5	0	1	Chinese			
Pelajau 	1	7	0	0	Malay			
Hawkinge 	0	8	0	2	British			
Folkestone 	0	10	0	2	British			
Dermawan 	1	8	0	0	Malay			
Shan 	0	4	1	1	Chinese			
Cowdray 	0	7	0	2	British			
Baghdad 	0	7	0	5	Other			
Kembagan 	1	8	0	0	Malay			
Temasek 	0	7	0	0	Malay			
Coast Ferry 	0	5	1	4	Generic			
Greja 	1	5	0	0	Malay			
Ama Keng 	0	3.5	0	1	Chinese			
Gombak 	0	6	0	0	Malay			
Seletar Hills 	0	6	0	0	Malay			
Jeruju 	1	6	0	0	Malay			
Seah 	0	4	0	1	Chinese			
Kang Ching 	0	4.5	0	1	Chinese			
Arumugam 	0	8	0	0	Malay			
Cheng Lim 	0	4	0	1	Chinese			
Silat 	0	5	0	5	Other			
Bee San 	0	3	1	1	Chinese			
Lanjut 	1	6	0	0	Malay			
Seagull 	0	7	1	6	Nature			
Ampang 	1	6	0	0	Malay			
Cherpen 	1	7	0	0	Malay			
Stanley 	0	7	0	2	British			
Coral 	0	5	1	6	Nature			
Youngberg 	0	9	0	2	British			
Kakatua 	1	7	0	0	Malay			
Cherry 	0	6	1	6	Nature			
Cedarwood 	0	9	0	2	British			
Francis Thomas 	0	6.5	0	2	British			
Mawar 	1	5	0	0	Malay			
Dock 	0	4	1	4	Generic			
Empress 	0	7	1	4	Generic			
Peck Seah 	0	4	0	1	Chinese			
Onraet 	0	6	0	5	Other	"""Onraet Road was named after René Henry de Solminihac Onraet (1887-1952). Born in India, René Onraet became a police cadet at the Straits Settlements Police Force in 1907. His talents in languages; he was able to speak English, Malay, Mandarin and Hokkien fluently, allowed him to work as an undercover to bust some of the biggest gambling dens in Chinatown."" - http://remembersingapore.wordpress.com/2014/01/09/pioneer-names-in-singapore-streets/"		
Puteh Jerneh 	1	5.5	0	0	Malay			
High 	0	4	1	4	Generic			
Chulia 	0	6	0	3	Indian	Chulias migrated to Singapore from South India		
Telipok 	1	7	0	0	Malay			
Chelagi 	1	7	0	0	Malay			
Fifth 	0	5	1	4	Generic			
Senoko 	0	6	0	0	Malay	"F&J: ""River Simko"" or Sungei Senoko in Malay"		
Martia 	0	6	0	2	British			
Weld 	0	4	1	2	British			
Topaz 	0	5	1	6	Nature			
Ash 	0	3	1	6	Nature			
Labu Merah 	1	4.5	0	0	Malay			
Surau 	1	5	0	0	Malay			
Pekin 	0	5	1	4	Generic			
New Changi 	0	4.5	0	1	Chinese			
Rambutan 	0	8	1	0	Malay			
Bunga Rampai 	1	5.5	0	0	Malay			
Lim Teck Boo 	0	3.3333333333	0	1	Chinese			
Rangoon 	0	7	0	0	Malay			
Pepys 	0	5	0	2	British			
Dalvey 	0	6	0	2	British			
Elm 	0	3	1	6	Nature			
Harvey 	0	6	0	2	British			
Chempah 	1	7	0	0	Malay			
Shunfu 	0	6	0	1	Chinese			
Koek 	0	4	0	1	Chinese			
How Sun 	1	3	1	1	Chinese			
Pari Kikis 	1	4.5	0	0	Malay			
Tanjong Pagar 	0	6	0	0	Malay			
Lewin 	0	5	0	2	British			
Chepstow 	0	8	0	2	British			
Fishery Port 	0	5.5	1	4	Generic			
Ulu Seletar 	1	5	0	0	Malay			
Biggin 	0	6	1	0	Malay			
Kenarah 	1	7	0	0	Malay			
Arts 	0	4	1	4	Generic			
Dawson 	0	6	0	2	British			
Dover 	0	5	1	2	British			
Boat 	0	4	1	4	Generic			
Circular 	0	8	1	4	Generic			
Hoot Kiam 	0	4	0	1	Chinese			
Mergui 	0	6	0	5	Other	Burmese town		
Merdu 	1	5	0	0	Malay			
Prince 	0	6	1	2	British			
Lakum 	1	5	0	0	Malay			
Cuppage 	0	7	0	2	British			
Jelapang 	0	8	0	0	Malay			
Turi 	1	4	0	0	Malay			
Pier 	0	4	1	4	Generic			
Chempedak 	1	9	0	0	Malay			
Pickering 	0	9	0	2	British			
Ripley 	0	6	0	2	British			
Kuala Loyang 	0	5.5	0	1	Chinese			
Tiong 	1	5	0	0	Malay			
Tanjong 	0	7	0	0	Malay			
Bristol 	0	7	1	4	Generic			
Jurong Pier 	0	5	0	0	Malay			
Ontario 	0	7	0	5	Other			
Kebun Limau 	1	5	0	0	Malay			
Lothian 	0	7	0	2	British			
Naga Sari 	1	4	1	0	Malay			
Remis 	1	5	0	0	Malay			
Bah Soon Pah 	0	3.3333333333	1	1	Chinese			
Elliot 	0	6	0	2	British			
Yarrow 	0	6	1	2	British			
Queensway 	0	9	0	2	British			
Gumilang 	1	8	0	0	Malay			
Tai Seng 	1	3.5	0	1	Chinese			
Battery 	0	7	1	4	Generic			
Vigilante 	0	9	1	4	Generic			
Canal 	0	5	1	4	Generic			
Abingdon 	0	8	0	2	British			
Bukit Tunggal 	0	6	0	0	Malay			
Horsham 	0	7	0	2	British			
Dunsfold 	0	8	0	2	British			
Roberts 	0	7	0	2	British			
Loyang Besar 	1	5.5	0	0	Malay			
Dedap 	0	5	0	0	Malay			
Balmoral 	0	8	1	2	British			
Lutheran 	0	8	0	5	Other			
Anson 	0	5	0	2	British			
Kloof 	0	5	1	5	Other			
Lembu 	0	5	0	0	Malay			
Sembilang 	1	9	0	0	Malay			
Kampong Chantek 	1	7	0	0	Malay			
Halwa 	1	5	0	0	Malay			
One Tree 	0	3.5	1	6	Nature			
Sentosa 	0	7	0	0	Malay			
Kee Seng 	0	3.5	0	1	Chinese			
Pipit 	0	5	1	0	Malay	?		
Jelita 	1	6	0	0	Malay			
Inggu 	1	5	0	0	Malay			
Tyrwhitt 	0	8	0	2	British			
Duxton 	0	6	0	2	British			
Muscat 	0	6	1	5	Other			
Haig 	0	4	0	2	British			
Kellock 	0	7	0	2	British			
Ramsgate 	0	8	0	2	British			
Lim Tai See 	1	3	0	1	Chinese			
Potong Pasir 	0	5.5	0	0	Malay			
Bassein 	0	7	0	2	British			
Haigsville 	0	10	0	2	British			
Sotong 	1	6	0	0	Malay			
Arnap 	1	5	0	0	Malay			
Mayfield 	0	8	0	2	British			
Exeter 	0	6	0	2	British			
Gilstead 	0	8	0	2	British			
Tukang Satu 	1	5	0	0	Malay			
Wiltshire 	0	9	0	2	British			
Third Hospital 	0	6.5	1	4	Generic			
Dix 	0	3	0	2	British			
Montreal 	0	8	0	5	Other			
Pitt 	0	4	0	2	British			
Sembawang Hills 	0	7	0	0	Malay			
Ardmore 	0	7	0	2	British			
Lada Pati 	1	4	0	0	Malay			
Halifax 	0	7	0	2	British			
Pintau 	1	6	0	0	Malay			
Mornington 	0	10	0	2	British			
Syed Alwi 	0	4	0	0	Malay			
Brockhampton 	0	12	0	2	British			
Merak 	1	5	0	0	Malay			
Lagoon 	0	6	1	4	Generic			
Quee Chew 	1	4	0	1	Chinese			
Gillman 	0	7	0	2	British			
Rochor 	0	6	0	2	British			
Telang 	1	6	0	0	Malay			
Arif 	1	4	0	0	Malay			
Wangi 	1	5	0	0	Malay			
Blackmore 	0	9	0	2	British			
Wee Nam 	0	3	1	1	Chinese			
Anak Bukit 	1	4.5	0	0	Malay			
Carlton 	0	7	0	2	British			
Refinery 	0	8	1	4	Generic			
