,amt_training_data,classifier_name,feature_name,feature_selector,result,split
0,0.1,Nearest Neighbors,ngrams,None,0.5086705202312138,0
1,0.1,Linear SVM,ngrams,None,0.6358381502890174,0
2,0.1,RBF SVM,ngrams,None,0.35260115606936415,0
3,0.1,Decision Tree,ngrams,None,0.6358381502890174,0
4,0.1,Random Forest,ngrams,None,0.4046242774566474,0
5,0.1,AdaBoost,ngrams,None,0.5606936416184971,0
6,0.1,Naive Bayes,ngrams,None,0.5086705202312138,0
7,0.1,LDA,ngrams,None,0.4682080924855491,0
8,0.2,Nearest Neighbors,ngrams,None,0.5895953757225434,0
9,0.2,Linear SVM,ngrams,None,0.6994219653179191,0
10,0.2,RBF SVM,ngrams,None,0.35260115606936415,0
11,0.2,Decision Tree,ngrams,None,0.6705202312138728,0
12,0.2,Random Forest,ngrams,None,0.3872832369942196,0
13,0.2,AdaBoost,ngrams,None,0.6127167630057804,0
14,0.2,Naive Bayes,ngrams,None,0.6127167630057804,0
15,0.2,LDA,ngrams,None,0.5549132947976878,0
16,0.30000000000000004,Nearest Neighbors,ngrams,None,0.5722543352601156,0
17,0.30000000000000004,Linear SVM,ngrams,None,0.7052023121387283,0
18,0.30000000000000004,RBF SVM,ngrams,None,0.35260115606936415,0
19,0.30000000000000004,Decision Tree,ngrams,None,0.6589595375722543,0
20,0.30000000000000004,Random Forest,ngrams,None,0.36416184971098264,0
21,0.30000000000000004,AdaBoost,ngrams,None,0.6416184971098265,0
22,0.30000000000000004,Naive Bayes,ngrams,None,0.6184971098265896,0
23,0.30000000000000004,LDA,ngrams,None,0.5028901734104047,0
24,0.4,Nearest Neighbors,ngrams,None,0.5895953757225434,0
25,0.4,Linear SVM,ngrams,None,0.7630057803468208,0
26,0.4,RBF SVM,ngrams,None,0.35260115606936415,0
27,0.4,Decision Tree,ngrams,None,0.6763005780346821,0
28,0.4,Random Forest,ngrams,None,0.3468208092485549,0
29,0.4,AdaBoost,ngrams,None,0.6358381502890174,0
30,0.4,Naive Bayes,ngrams,None,0.6647398843930635,0
31,0.4,LDA,ngrams,None,0.5491329479768786,0
32,0.5,Nearest Neighbors,ngrams,None,0.6069364161849711,0
33,0.5,Linear SVM,ngrams,None,0.7398843930635838,0
34,0.5,RBF SVM,ngrams,None,0.35260115606936415,0
35,0.5,Decision Tree,ngrams,None,0.7109826589595376,0
36,0.5,Random Forest,ngrams,None,0.3930635838150289,0
37,0.5,AdaBoost,ngrams,None,0.6358381502890174,0
38,0.5,Naive Bayes,ngrams,None,0.6473988439306358,0
39,0.5,LDA,ngrams,None,0.5722543352601156,0
40,0.6,Nearest Neighbors,ngrams,None,0.6069364161849711,0
41,0.6,Linear SVM,ngrams,None,0.7630057803468208,0
42,0.6,RBF SVM,ngrams,None,0.35260115606936415,0
43,0.6,Decision Tree,ngrams,None,0.7225433526011561,0
44,0.6,Random Forest,ngrams,None,0.34104046242774566,0
45,0.6,AdaBoost,ngrams,None,0.6763005780346821,0
46,0.6,Naive Bayes,ngrams,None,0.6473988439306358,0
47,0.6,LDA,ngrams,None,0.43352601156069365,0
48,0.7000000000000001,Nearest Neighbors,ngrams,None,0.6184971098265896,0
49,0.7000000000000001,Linear SVM,ngrams,None,0.7341040462427746,0
