,amount,feature_selector,result,split
0,0.1,None,0.6647398843930635,0
1,0.1,kthPercentile10,0.6647398843930635,0
2,0.1,kthPercentile25,0.6184971098265896,0
3,0.1,kthPercentile50,0.6473988439306358,0
4,0.1,LinearSVC L1,0.7052023121387283,0
5,0.1,PCA,0.6647398843930635,0
6,0.2,None,0.7109826589595376,0
7,0.2,kthPercentile10,0.7052023121387283,0
8,0.2,kthPercentile25,0.6589595375722543,0
9,0.2,kthPercentile50,0.6936416184971098,0
10,0.2,LinearSVC L1,0.6936416184971098,0
11,0.2,PCA,0.7167630057803468,0
12,0.30000000000000004,None,0.7283236994219653,0
13,0.30000000000000004,kthPercentile10,0.6994219653179191,0
14,0.30000000000000004,kthPercentile25,0.7225433526011561,0
15,0.30000000000000004,kthPercentile50,0.6936416184971098,0
16,0.30000000000000004,LinearSVC L1,0.7398843930635838,0
17,0.30000000000000004,PCA,0.7225433526011561,0
18,0.4,None,0.7514450867052023,0
19,0.4,kthPercentile10,0.7225433526011561,0
20,0.4,kthPercentile25,0.7341040462427746,0
21,0.4,kthPercentile50,0.7398843930635838,0
22,0.4,LinearSVC L1,0.7456647398843931,0
23,0.4,PCA,0.7398843930635838,0
24,0.5,None,0.7398843930635838,0
25,0.5,kthPercentile10,0.6994219653179191,0
26,0.5,kthPercentile25,0.7052023121387283,0
27,0.5,kthPercentile50,0.7341040462427746,0
28,0.5,LinearSVC L1,0.7052023121387283,0
29,0.5,PCA,0.7283236994219653,0
30,0.6,None,0.7630057803468208,0
31,0.6,kthPercentile10,0.7572254335260116,0
32,0.6,kthPercentile25,0.7283236994219653,0
33,0.6,kthPercentile50,0.7456647398843931,0
34,0.6,LinearSVC L1,0.7514450867052023,0
35,0.6,PCA,0.7630057803468208,0
36,0.7000000000000001,None,0.8034682080924855,0
37,0.7000000000000001,kthPercentile10,0.7514450867052023,0
38,0.7000000000000001,kthPercentile25,0.7456647398843931,0
39,0.7000000000000001,kthPercentile50,0.8034682080924855,0
40,0.7000000000000001,LinearSVC L1,0.7861271676300579,0
41,0.7000000000000001,PCA,0.7976878612716763,0
42,0.8,None,0.8034682080924855,0
43,0.8,kthPercentile10,0.7225433526011561,0
44,0.8,kthPercentile25,0.7225433526011561,0
45,0.8,kthPercentile50,0.7687861271676301,0
46,0.8,LinearSVC L1,0.7630057803468208,0
47,0.8,PCA,0.791907514450867,0
48,0.9,None,0.7976878612716763,0
49,0.9,kthPercentile10,0.7687861271676301,0
50,0.9,kthPercentile25,0.7687861271676301,0
51,0.9,kthPercentile50,0.7976878612716763,0
52,0.9,LinearSVC L1,0.7745664739884393,0
53,0.9,PCA,0.815028901734104,0
54,1.0,None,0.791907514450867,0
55,1.0,kthPercentile10,0.7572254335260116,0
56,1.0,kthPercentile25,0.7745664739884393,0
57,1.0,kthPercentile50,0.7803468208092486,0
58,1.0,LinearSVC L1,0.7803468208092486,0
59,1.0,PCA,0.7803468208092486,0
60,0.1,None,0.6878612716763006,1
61,0.1,kthPercentile10,0.6763005780346821,1
62,0.1,kthPercentile25,0.6358381502890174,1
63,0.1,kthPercentile50,0.6878612716763006,1
64,0.1,LinearSVC L1,0.6936416184971098,1
65,0.1,PCA,0.6705202312138728,1
66,0.2,None,0.7630057803468208,1
67,0.2,kthPercentile10,0.6936416184971098,1
68,0.2,kthPercentile25,0.7052023121387283,1
69,0.2,kthPercentile50,0.7630057803468208,1
70,0.2,LinearSVC L1,0.7687861271676301,1
71,0.2,PCA,0.7572254335260116,1
72,0.30000000000000004,None,0.7109826589595376,1
73,0.30000000000000004,kthPercentile10,0.7109826589595376,1
74,0.30000000000000004,kthPercentile25,0.6936416184971098,1
75,0.30000000000000004,kthPercentile50,0.7225433526011561,1
76,0.30000000000000004,LinearSVC L1,0.7341040462427746,1
77,0.30000000000000004,PCA,0.6994219653179191,1
78,0.4,None,0.7398843930635838,1
79,0.4,kthPercentile10,0.7283236994219653,1
80,0.4,kthPercentile25,0.7225433526011561,1
81,0.4,kthPercentile50,0.7225433526011561,1
82,0.4,LinearSVC L1,0.7456647398843931,1
83,0.4,PCA,0.7167630057803468,1
84,0.5,None,0.7456647398843931,1
85,0.5,kthPercentile10,0.7456647398843931,1
86,0.5,kthPercentile25,0.7398843930635838,1
87,0.5,kthPercentile50,0.7109826589595376,1
88,0.5,LinearSVC L1,0.7456647398843931,1
89,0.5,PCA,0.7341040462427746,1
90,0.6,None,0.7803468208092486,1
91,0.6,kthPercentile10,0.7341040462427746,1
92,0.6,kthPercentile25,0.7572254335260116,1
93,0.6,kthPercentile50,0.7514450867052023,1
94,0.6,LinearSVC L1,0.791907514450867,1
95,0.6,PCA,0.7861271676300579,1
96,0.7000000000000001,None,0.7861271676300579,1
97,0.7000000000000001,kthPercentile10,0.7398843930635838,1
98,0.7000000000000001,kthPercentile25,0.7745664739884393,1
99,0.7000000000000001,kthPercentile50,0.7572254335260116,1
100,0.7000000000000001,LinearSVC L1,0.7861271676300579,1
101,0.7000000000000001,PCA,0.7803468208092486,1
102,0.8,None,0.7514450867052023,1
103,0.8,kthPercentile10,0.7630057803468208,1
104,0.8,kthPercentile25,0.7803468208092486,1
105,0.8,kthPercentile50,0.7398843930635838,1
106,0.8,LinearSVC L1,0.7572254335260116,1
107,0.8,PCA,0.7514450867052023,1
108,0.9,None,0.7630057803468208,1
109,0.9,kthPercentile10,0.7687861271676301,1
110,0.9,kthPercentile25,0.7687861271676301,1
111,0.9,kthPercentile50,0.7456647398843931,1
112,0.9,LinearSVC L1,0.7687861271676301,1
113,0.9,PCA,0.7687861271676301,1
114,1.0,None,0.7514450867052023,1
115,1.0,kthPercentile10,0.7630057803468208,1
116,1.0,kthPercentile25,0.7803468208092486,1
117,1.0,kthPercentile50,0.7341040462427746,1
118,1.0,LinearSVC L1,0.7861271676300579,1
119,1.0,PCA,0.7514450867052023,1
120,0.1,None,0.6936416184971098,2
121,0.1,kthPercentile10,0.6473988439306358,2
122,0.1,kthPercentile25,0.6069364161849711,2
123,0.1,kthPercentile50,0.6705202312138728,2
124,0.1,LinearSVC L1,0.6647398843930635,2
125,0.1,PCA,0.6820809248554913,2
126,0.2,None,0.7167630057803468,2
127,0.2,kthPercentile10,0.6473988439306358,2
128,0.2,kthPercentile25,0.653179190751445,2
129,0.2,kthPercentile50,0.7572254335260116,2
130,0.2,LinearSVC L1,0.7109826589595376,2
131,0.2,PCA,0.6936416184971098,2
132,0.30000000000000004,None,0.7225433526011561,2
133,0.30000000000000004,kthPercentile10,0.6878612716763006,2
134,0.30000000000000004,kthPercentile25,0.6878612716763006,2
135,0.30000000000000004,kthPercentile50,0.7398843930635838,2
136,0.30000000000000004,LinearSVC L1,0.7167630057803468,2
137,0.30000000000000004,PCA,0.7225433526011561,2
138,0.4,None,0.7745664739884393,2
139,0.4,kthPercentile10,0.7167630057803468,2
140,0.4,kthPercentile25,0.7341040462427746,2
141,0.4,kthPercentile50,0.7572254335260116,2
142,0.4,LinearSVC L1,0.7514450867052023,2
143,0.4,PCA,0.7514450867052023,2
144,0.5,None,0.7745664739884393,2
145,0.5,kthPercentile10,0.6878612716763006,2
146,0.5,kthPercentile25,0.7225433526011561,2
147,0.5,kthPercentile50,0.7514450867052023,2
148,0.5,LinearSVC L1,0.7687861271676301,2
149,0.5,PCA,0.7745664739884393,2
150,0.6,None,0.7283236994219653,2
151,0.6,kthPercentile10,0.7572254335260116,2
152,0.6,kthPercentile25,0.7514450867052023,2
153,0.6,kthPercentile50,0.7283236994219653,2
154,0.6,LinearSVC L1,0.7398843930635838,2
155,0.6,PCA,0.7283236994219653,2
156,0.7000000000000001,None,0.7398843930635838,2
157,0.7000000000000001,kthPercentile10,0.7398843930635838,2
158,0.7000000000000001,kthPercentile25,0.7341040462427746,2
159,0.7000000000000001,kthPercentile50,0.7514450867052023,2
160,0.7000000000000001,LinearSVC L1,0.7398843930635838,2
161,0.7000000000000001,PCA,0.7398843930635838,2
162,0.8,None,0.7572254335260116,2
163,0.8,kthPercentile10,0.7341040462427746,2
164,0.8,kthPercentile25,0.7456647398843931,2
165,0.8,kthPercentile50,0.7687861271676301,2
166,0.8,LinearSVC L1,0.7514450867052023,2
167,0.8,PCA,0.7514450867052023,2
168,0.9,None,0.7687861271676301,2
169,0.9,kthPercentile10,0.7398843930635838,2
170,0.9,kthPercentile25,0.7861271676300579,2
171,0.9,kthPercentile50,0.7456647398843931,2
172,0.9,LinearSVC L1,0.7630057803468208,2
173,0.9,PCA,0.7687861271676301,2
174,1.0,None,0.7514450867052023,2
175,1.0,kthPercentile10,0.7398843930635838,2
176,1.0,kthPercentile25,0.7745664739884393,2
177,1.0,kthPercentile50,0.7572254335260116,2
178,1.0,LinearSVC L1,0.7630057803468208,2
179,1.0,PCA,0.7456647398843931,2
180,0.1,None,0.6763005780346821,3
181,0.1,kthPercentile10,0.5664739884393064,3
182,0.1,kthPercentile25,0.5722543352601156,3
183,0.1,kthPercentile50,0.6184971098265896,3
184,0.1,LinearSVC L1,0.6589595375722543,3
185,0.1,PCA,0.630057803468208,3
186,0.2,None,0.7225433526011561,3
187,0.2,kthPercentile10,0.6589595375722543,3
188,0.2,kthPercentile25,0.6820809248554913,3
189,0.2,kthPercentile50,0.6878612716763006,3
190,0.2,LinearSVC L1,0.7341040462427746,3
191,0.2,PCA,0.7109826589595376,3
192,0.30000000000000004,None,0.7109826589595376,3
193,0.30000000000000004,kthPercentile10,0.7225433526011561,3
194,0.30000000000000004,kthPercentile25,0.7052023121387283,3
195,0.30000000000000004,kthPercentile50,0.7167630057803468,3
196,0.30000000000000004,LinearSVC L1,0.7167630057803468,3
