Kallang Bahru 	0	6	0	0	Malay	
Seaview 	1	7	0	4	Generic	
Yung Sheng 	0	4.5	0	1	Chinese	
Telok Paku 	0	4.5	0	0	Malay	
Daisy 	0	5	1	6	Nature	
Marne 	0	5	0	2	British	
Stratton 	0	8	0	2	British	
Olive 	0	5	1	4	Generic	
Russels 	0	7	1	2	British	
Ellis 	0	5	0	2	British	
Temple 	0	6	1	4	Generic	
Jiak Kim 	0	3.5	0	1	Chinese	
Kampong Wak Hassan 	0	5.3333333333	0	0	Malay	
Kang Choo Bin 	0	3.6666666667	0	1	Chinese	
Buroh 	0	5	0	0	Malay	
Bakar Batu 	1	4.5	0	0	Malay	
Terap 	1	5	0	0	Malay	
Angin Laut 	1	4.5	0	0	Malay	
Daffodil 	0	8	1	6	Nature	
Tempua 	1	6	0	0	Malay	
Mandalay 	0	8	0	5	Other	Burmese city
Kew 	0	3	0	2	British	
Raja Udang 	1	4.5	0	0	Malay	
Rodyk 	0	5	0	5	Other	sounds Dutch
Pender 	0	6	0	2	British	
Panchar 	1	7	0	0	Malay	
New 	0	3	1	4	Generic	
King's 	0	6	1	2	British	
Lakepoint 	0	9	0	4	Generic	
Tuas 	0	4	0	0	Malay	"""Tuas is derived from a daytime fishing method uncommon these days. The coastal Malays floated coconut fronds and leafy branches kept close together by the rising tide. A large net was then spread and suspended below. The shade provided drew in the fish. More and more were attracted until, at a given signal, the net was hauled up by the Malay fishermen in the boats. Levering or hauling up is menuas, which became tuas. Tuas also means ""to chop in two pieces"", ""to raise by leverage"", and ""to support""."" - Wikipedia"
Serenade 	0	8	1	2	British	
Fourth 	0	6	1	4	Generic	
Hartley 	0	7	0	2	British	
Papan 	1	5	0	0	Malay	
Martlesham 	0	10	0	2	British	
Choon Guan 	0	4.5	0	1	Chinese	
Clarke 	0	6	0	2	British	
Cox 	0	3	1	2	British	
Nile 	0	4	0	5	Other	
Ponggol 	0	7	0	0	Malay	
Kampong Kapor 	0	6	0	0	Malay	
Caseen 	0	6	0	2	British	
Kallang Tengah 	0	6.5	0	0	Malay	
Pesari 	0	6	0	0	Malay	
Greenbank 	0	9	0	2	British	
Novena 	0	6	1	5	Other	
Payoh Lai 	1	4	0	0	Malay	
Gateway 	0	7	1	4	Generic	
Harrison 	0	8	0	2	British	
Gordon 	0	6	0	2	British	
Reservoir 	0	9	1	4	Generic	
Tan Sim Boh 	0	3	1	1	Chinese	
Jansen 	0	6	0	2	British	
Rutland 	0	7	0	2	British	
St. Patrick's 	0	6	0	2	British	
New Loyang 	0	4.5	0	1	Chinese	From Chinese Luoyang?
Penchalak 	1	9	0	0	Malay	
Owen 	0	4	0	2	British	
Western 	0	7	1	4	Generic	
Fiji 	0	4	0	5	Other	
Kingswear 	0	9	0	2	British	
Melukut 	1	7	0	0	Malay	
Bendemeer 	0	9	0	2	British	
Kemboja 	1	7	0	0	Malay	
Rosyth 	0	6	0	2	British	
Craig 	0	5	1	2	British	
Holland 	0	7	1	2	British	"""Often mistaken for naming after the Dutch community in Singapore, the long Holland Road was actually named after Hugh Holland, an early resident, architect and amateur actor who used to lived at Tanglin area."" - http://remembersingapore.wordpress.com/2014/01/09/pioneer-names-in-singapore-streets/"
Gali Batu 	1	4	0	0	Malay	
Cherah 	1	6	0	0	Malay	
Institution 	0	11	1	4	Generic	
Gosport 	0	7	1	2	British	
Birch 	0	5	1	4	Generic	
Puay Hee 	0	3.5	0	1	Chinese	
Tari Piring 	1	5	0	0	Malay	
Braemar 	0	7	0	2	British	
Keng Lee 	0	3.5	0	1	Chinese	
Hyderabad 	0	9	0	3	Indian	
Lim Ah Pin 	0	2.6666666667	0	1	Chinese	
Boon Keng 	0	4	0	1	Chinese	
Margaret 	0	8	0	2	British	
Jurong 	0	6	0	0	Malay	
Melati 	1	6	0	0	Malay	
Highland 	0	8	1	4	Generic	
Tawas 	1	5	1	0	Malay	
Tomlinson 	0	9	0	2	British	
Burghley 	0	8	0	2	British	
Tong Watt 	0	4	1	1	Chinese	
Peach 	0	5	1	4	Generic	
Rochdale 	0	8	0	2	British	
Winchester 	0	10	0	2	British	
Bekukong 	1	8	0	0	Malay	
Kuo Chuan 	0	4	0	1	Chinese	
Yan Kit 	0	3	0	1	Chinese	
Paras 	1	5	1	0	Malay	
Murai 	0	5	0	0	Malay	
Avon 	0	4	0	2	British	
Bird 	0	4	1	2	British	
Suffolk 	0	7	0	2	British	
Elias 	0	5	0	0	Malay	
Hussein 	1	7	0	0	Malay	
Fullerton 	0	9	0	2	British	
Wimborne 	0	8	0	2	British	
Rebecca 	0	7	0	2	British	
Thomson 	0	7	0	2	British	
Teck Chye 	0	4	0	1	Chinese	
Fir 	0	3	1	4	Generic	
Murray 	0	6	1	2	British	
Ayer Molek 	1	4.5	0	0	Malay	
Usaha 	1	5	0	0	Malay	
Binchang 	0	8	0	0	Malay	
Tham Soong 	0	4.5	0	1	Chinese	
Maria 	0	5	1	2	British	
Hindhede 	0	8	0	2	British	
Boon Teck 	0	4	0	1	Chinese	
Harlyn 	0	6	0	2	British	
Tamarind 	0	8	1	4	Generic	
Sunbird 	0	7	1	4	Generic	
Clemenceau 	0	10	0	5	Other	French statesman WWI
Hornchurch 	0	10	0	2	British	
Kelulut 	0	7	0	0	Malay	
Ava 	0	3	1	2	British	
Jamal 	1	5	0	0	Malay	
Mesin 	1	5	0	0	Malay	
Palm 	0	4	1	4	Generic	
Siantan 	1	7	0	0	Malay	
Ford 	0	4	1	2	British	
University 	0	10	1	4	Generic	
Ampas 	1	5	0	0	Malay	
Park Villas 	0	5	1	4	Generic	
Songket 	1	7	0	0	Malay	
Terang Bulan 	0	5.5	0	0	Malay	
Leicester 	0	9	0	2	British	
Bencoolen 	0	9	0	0	Malay	"""Bencoolen Street was named in remembrance of Sir Stamford Raffles' position as Lieutenant Governor in Bencoolen (now Bengkulu), Sumatra, as well as that it was located in Kampong Bencoolen. When Raffles came to the island in 1819, a number of Bencoolen Malays came as well and settled in the area where the street was. When the British gave up Bencoolen in 1824, after signing the Anglo-Dutch Treaty of 1824, the number of Bencoolen Malays grew. The majority of the oldest Singaporean Malays and Eurasians descended from the Bencoolen Malays."" - Wikipedia"
Sukachita 	1	9	0	0	Malay	
Rienzi 	0	6	0	5	Other	-
Berseh 	1	6	0	0	Malay	
Gemmill 	0	7	0	2	British	
Beng Wan 	0	3.5	0	1	Chinese	
Seletar 	0	7	0	0	Malay	"""The Malay word seletar refers to the aboriginal coastal dwellers"" – Wikipedia"
Lembah Kallang 	1	6.5	0	0	Malay	
Bras Basah 	0	4.5	0	0	Malay	
Kilang Barat 	1	5.5	0	0	Malay	
Carlisle 	0	8	0	2	British	
Lowland 	0	7	1	4	Generic	
Marlene 	0	7	0	2	British	
Warwick 	0	7	0	2	British	
Lower Delta 	0	5	1	4	Generic	
Malan 	0	5	0	0	Malay	
Pemimpin 	0	8	0	0	Malay	
Glasgow 	0	7	0	2	British	
Faculty 	0	7	1	4	Generic	
St. Michael's 	0	6	0	2	British	
Jellicoe 	0	8	0	2	British	
Bingka 	1	6	0	0	Malay	
Jitong 	1	6	0	0	Malay	
Students 	0	8	1	4	Generic	
Stagmont 	0	8	0	2	British	
Lembah Bedok 	1	5.5	0	0	Malay	
Seh Chuan 	1	4	0	1	Chinese	
Ayer Rajah 	0	4.5	0	3	Indian	
Caldecott 	0	9	0	2	British	
Wishart 	0	7	0	2	British	
Lam Huat 	1	3.5	0	1	Chinese	
Ridgewood 	0	9	0	2	British	
Peck Hay 	0	3.5	1	1	Chinese	
Muswell 	0	7	0	2	British	
Tarum 	1	5	0	0	Malay	
Bilal 	1	5	0	0	Malay	
Gibraltar 	0	9	0	5	Other	
Mat Jambol 	1	4.5	0	0	Malay	
Hemmant 	0	7	0	2	British	
Malu-Malu 	1	9	0	0	Malay	
Yung Ho 	0	3	0	1	Chinese	
Pelepah 	1	7	0	0	Malay	
Binjai 	0	6	0	0	Malay	
Bedford 	0	7	0	2	British	
Cranwell 	0	8	0	2	British	
Lily 	0	4	1	4	Generic	
Seah Im 	0	3	0	1	Chinese	
Cottesmore 	0	10	0	2	British	
Thong Bee 	0	4	1	1	Chinese	
Purvis 	0	6	0	2	British	
Angsa 	1	5	0	0	Malay	
Chay Yan 	0	3.5	0	1	Chinese	
Jetty 	0	5	1	4	Generic	
Fernwood 	0	8	0	2	British	
Morse 	0	5	1	2	British	
Dido 	0	4	1	5	Other	Opera
Berseri 	1	7	0	0	Malay	
Sommerville 	0	11	0	2	British	
Henderson 	0	9	0	2	British	
Chermat 	1	7	0	0	Malay	
Tenang 	1	6	0	0	Malay	
Kilat 	1	5	0	0	Malay	
Heng Mui Keng 	0	3.6666666667	0	1	Chinese	
Sappan 	1	6	1	0	Malay	
Sedap 	1	5	0	0	Malay	
Limau Manis 	1	5	0	0	Malay	
Bodmin 	0	6	0	2	British	
Kemaman 	1	7	0	0	Malay	
Pasir Ris 	0	4	0	0	Malay	
Garlick 	0	7	0	2	British	
Island Club 	0	5	1	4	Generic	
Boon Lay 	0	3.5	1	1	Chinese	
Chancery 	0	8	1	2	British	
Fan Yoong 	0	4	0	1	Chinese	
Bedok 	0	5	0	0	Malay	
Teachers' Housing 	0	8	0	4	Generic	
Chestnut 	0	8	1	6	Nature	
Piring 	1	6	0	0	Malay	
Second Chin Bee 	0	4.3333333333	1	1	Chinese	
Chermai 	1	7	0	0	Malay	
Niven 	0	5	0	2	British	
Fairy Point 	0	5	1	2	British	
Jambu Batu 	1	4.5	0	0	Malay	
Nutmeg 	0	6	1	6	Nature	
Bowmont 	0	7	0	2	British	
Valley 	0	6	1	4	Generic	
Punai 	1	5	0	0	Malay	
Anchorvale 	0	10	0	2	British	
Farnborough 	0	11	0	2	British	
Bayshore 	0	8	0	2	British	
Chempaka Kuning 	1	7	0	0	Malay	
